title,overview,description,imageURL,day,startTime,endTime
"Community Service and Advocacy","Volunteer-driven projects that uplift unsheltered and underserved families through collaboration, compassion, and community action.","Students identify a meaningful community need, design their own service project, gather materials, and complete their chosen project. They explore mutual aid, teamwork, leadership, and advocacy while learning how youth can create real community impact.","https://res.cloudinary.com/dpnteladb/image/upload/Program_Community_odl8s4.png",3,16,18
"Food Insecurity Sports Clinics","Partnering with local high school & college sports teams to offer free training for youth. Instead of payment, youth bring food donations; supporting community fridges and food pantries while learning about food insecurity, accessing food resources, and mutual aid","Youth participate in sports based clinics while donating food items instead of paying fees. They learn about food insecurity, mutual aid, and how their actions support families in need. Students also learn about local resources such as community fridges, food pantries, and gardens.","https://res.cloudinary.com/dpnteladb/image/upload/v1764853406/Program_Sports_aexxkm.png",1,15.75,17.75
"Cultural Cooking & Community Connections","Our youth learn culinary skills and cultural traditions while preparing meals for families in need, promoting heritage, unity, and wellness through food, storytelling, and community service.","Youth explore and create diverse cultural recipes together, then share them with the community. Families are encouraged to follow along and cook these meals for neighbors in need. This program celebrates culture, builds community, and helps youth understand the shared role we all play in addressing hunger.","https://res.cloudinary.com/dpnteladb/image/upload/v1764853896/Program_Cooking_pt1chh.png",5,18,20
"Girls Empowerment Mentorship","Mentorship, R.A.D. self-defense training, and menstrual equity projects addressing period poverty and building confidence and leadership.","Our Girls Programming empowers participants to know their value, speak their truth, and lead with confidence. Girls engage in equity and advocacy conversations, mental health and wellness activities, and R.A.D. self defense training that builds real world safety skills. Together, these experiences support strong minds, strong bodies, and strong voices.","https://res.cloudinary.com/dpnteladb/image/upload/v1764854236/Program_Girls_lhvwej.png",2,17,18.5
"Youth Feed Youth: 100 Meals Monthly","Youth work together to plan, cook, and package more than one hundred fresh meals every month for the unsheltered and families in need. They learn compassion, teamwork, and the power of serving their community through hands on action.","","https://res.cloudinary.com/dpnteladb/image/upload/v1764861756/Program_YFY_tylogf.png",0,9.25,10.25
"Menstrual Hygiene Equity and Advocacy","Students collect period products, assemble dignity centered hygiene kits, write uplifting messages, and learn about menstrual equity, stigma, and the importance of advocating for access and dignity. This project builds confidence, empathy, and social awareness.","","https://res.cloudinary.com/dpnteladb/image/upload/v1764862701/Program_Menstrual_h5siyf.png",4,17,18
